"http://ieeexplore.ieee.org.ezproxy.rit.edu/search/searchresult.jsp?download-format=download-csv&ar=5945297,7133634,6844748,5411977,4575276,6945304,7045011,1626027,4373481,6554056,5540814,4447772,4451089,6950910,6115504,1527351,1610006,5620540,6618662,5283125,6347620,6405632,4925084,5161659,4696203,4230954,6364527,6141351,5559708,6916624,5958858,5548289,6724321,1607921,1437817,1330937,6389736,6211992,1656050,4148961,7102472,6416889,5302607,4156645,5708601,6755057,935044,5488435,6732386,5614106,1181776,6392538,5772420,1306386,5629206,1614734,6985519,723795,7182328,4469391,5473776,4666405,7168448,6967159,6269577,5260652,1226013,6332351,5604057,5376160,5963752,5068454,1550996,1437839,5700198,6639361,6783487,4604543,6968613,6378943,6984281,6918236,4382870,6838298,7000824,4808889,1712831,4064325,6030216,1624001,1176757,5473978,4021812,5473265,5541866,4351465,4365703,4438967,4344785,5958871",2015/11/20 18:06:07
"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Year","Volume","Issue","Start Page","End Page","Abstract","ISSN","ISBN","EISBN","DOI",PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","MeSH Terms",Article Citation Count,Patent Citation Count,"Reference Count","Copyright Year","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Solving P2P Traffic Identification Problems Via Optimized Support Vector Machines","Yue-Xiang Yang; Rui Wang; Yang Liu; Xiao-yong Zhou","Nat. Univ. of Defense Technol., Harbin","Computer Systems and Applications, 2007. AICCSA '07. IEEE/ACS International Conference on","20070611","2007","","","165","171","Since the emergence of peer-to-peer (P2P) networking in the last 90s, P2P traffic has become one of the most significant portions of the network traffic. Accurate identification of P2P traffic makes great sense for efficient network management and reasonable utility of network resources. Application level classification of P2P traffic, especially without payload feature detection, is still a challenging problem. This paper proposes a new method for P2P traffic identification and application level classification, which merely uses transport layer information. The method uses support vector machines which have been optimized for performing large learning tasks, rendering that this method become more suitable for large network traffic. The experimental results show that this method achieved high efficiency and is suitable for real-time identification. And carefully tuning the parameters could make the method achieve high accuracy.","","1-4244-1030-4","1-4244-1031-2","10.1109/AICCSA.2007.370879","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4230954","","Computer vision;Disaster management;Machine learning;Optimization methods;Payloads;Peer to peer computing;Resource management;Support vector machine classification;Support vector machines;Telecommunication traffic","computer network management;peer-to-peer computing;support vector machines;telecommunication computing;telecommunication traffic","application level classification;computer network management;optimized support vector machine;payload feature detection;peer-to-peer network traffic identification problem","","3","","27","","","13-16 May 2007","","IEEE","IEEE Conference Publications"
"An improved Hidden Markov Model for anomaly detection using frequent common patterns","Sultana, A.; Hamou-Lhadj, A.; Couture, M.","","Communications (ICC), 2012 IEEE International Conference on","20121129","2012","","","1113","1117","Host-based intrusion detection techniques are needed to ensure the safety and security of software systems, especially, if these systems handle sensitive data. Most host-based intrusion detection systems involve building some sort of reference models offline, usually from execution traces (in the absence of the source code), to characterize the system healthy behavior. The models can later be used as a baseline for online detection of abnormal behavior. Perhaps the most popular techniques are the ones based on the use of Hidden Markov Models (HMM). These techniques, however, require long training time of the models, which makes them computationally infeasible, the main reason being the large size of typical traces. In this paper, we propose an improved HMM using the concept of frequent common patterns. In other words, we build models based on extracting the largest n-grams (patterns) in the traces instead of taking each trace event on its own. We show through a case study that our approach can reduce the training time by 31.96%-48.44% compared to the original HMM algorithms while keeping almost the same accuracy rate.","1550-3607","978-1-4577-2052-9","978-1-4577-2051-2","10.1109/ICC.2012.6364527","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6364527","Behavioral modeling;HMM;Host-based Anomanly Detection Systems;N-gram extraction algorithm","Accuracy;Algorithm design and analysis;Data models;Hidden Markov models;Intrusion detection;Training","hidden Markov models;security of data","HMM algorithms;execution traces;frequent common patterns;host-based intrusion detection techniques;improved hidden Markov model;n-grams;online detection;reference models;software system safety;software system security;system healthy behavior","","2","","30","","","10-15 June 2012","","IEEE","IEEE Conference Publications"
"A novel approach for security in Cloud Computing using Hidden Markov Model and clustering","Kumar, P.; Nitin, N.; Sehgal, V.; Shah, K.; Shukla, S.S.P.; Chauhan, D.S.","Dept. of CSE & IT, Jaypee Univ. of Inf. Technol., Waknaghat, India","Information and Communication Technologies (WICT), 2011 World Congress on","20120130","2011","","","810","815","In today's fastest growing IT industry Cloud Computing is gaining much more popularity because the Cloud providers feel that it is very easy to manage the data in the cloud environment rather than normal web-sites in form of simple web pages. Every day the data seeking is being done by many users immensely. Here due to immense number of users seeking the data on daily basis there is a serious security concerns to the cloud providers as well as the data providers who put their data on the cloud computing environment. This paper provides solution of the security issues of cloud computing with the help of Hidden Markov Model based Clustering using data mining Techniques which can be very fruitful technique to detect any kind of intrusion detection in the network.","","978-1-4673-0127-5","","10.1109/WICT.2011.6141351","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6141351","Cloud computing;cluster analysis;data mining;filter networks;firewall gateway;hidden markov model","Cloud computing;Data mining;Databases;Fires;Hidden Markov models;IP networks;Security","cloud computing;computer network security;data mining;hidden Markov models","IT industry;cloud computing security;cloud providers;data management;data mining;data providers;data seeking;hidden Markov model;intrusion detection","","3","2","20","","","11-14 Dec. 2011","","IEEE","IEEE Conference Publications"
"Energy efficient hybrid intrusion detection system for wireless sensor networks","Abduvaliyev, A.; Sungyoung Lee; Young-Koo Lee","Dept. of Comput. Eng., Kyung Hee Univ., Suwon, South Korea","Electronics and Information Engineering (ICEIE), 2010 International Conference On","20100902","2010","2","","V2-25","V2-29","In this work, we propose the architecture of hybrid intrusion detection system (eHIDS) for wireless sensor networks. In order to get hybrid scheme, we use combined version of anomaly and misuse detection techniques. In addition, we use cluster-based wireless sensor networks to reduce communication and computation costs. We evaluate the performance of our scheme by simulating the network and comparing with other related schemes. The simulation results show that our scheme performs better than other schemes in terms of energy efficiency and high detection rate.","","978-1-4244-7679-4","978-1-4244-7681-7","10.1109/ICEIE.2010.5559708","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5559708","hybrid system;intrusion detection;wireless sensor networks","Computational modeling;Decision making;Energy efficiency;Intrusion detection;Monitoring;Wireless sensor networks","security of data;telecommunication computing;telecommunication security;wireless sensor networks","cluster-based wireless sensor networks;energy efficient hybrid intrusion detection system;misuse detection techniques","","4","","16","","","1-3 Aug. 2010","","IEEE","IEEE Conference Publications"
"Data Leakage/Loss Prevention Systems (DLP)","Tahboub, R.; Saleh, Y.","Coll. of Inf. Technol. & Comput. Eng., Palestine Polytech. Univ., Hebron, Palestinian Authority","Computer Applications and Information Systems (WCCAIS), 2014 World Congress on","20141007","2014","","","1","6","Sensitive and confidential data are a requisite for most companies, so protection for this data takes great attention by company's top management, administrators and IT managers. Data leakage causes negative impact on companies. The traditional security approaches, such as firewalls, can't protect data from leakage. Data leakage/loss prevention (DLP) systems are solutions that protect sensitive data from being in non-trusted hands. This paper is an attempt to survey and study DLP systems that will be conducted as well as a comparison with other security and data protection approaches.","","978-1-4799-3350-1","","10.1109/WCCAIS.2014.6916624","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6916624","Cloud computing;Confidential Data;Data Leakage Prevention (DLP);Firewall;Unauthorized user","Cryptography;Firewalls (computing);Hip;Inspection;Trojan horses","business data processing;data protection","DLP systems;data leakage-loss prevention systems;sensitive data protection","","0","","36","","","17-19 Jan. 2014","","IEEE","IEEE Conference Publications"
"Anomaly-based intrusion detection in software as a service","Nascimento, G.; Correia, M.","Portugal Telecom, Portugal","Dependable Systems and Networks Workshops (DSN-W), 2011 IEEE/IFIP 41st International Conference on","20110721","2011","","","19","24","Anomaly-based intrusion detection systems (IDS) have the ability of detecting previously unknown attacks, which is important since new vulnerabilities and attacks are constantly appearing. Software as a service web applications are currently much targeted by attacks, so they are an obvious application for such IDSs. The paper presents a study of the use of anomaly-based IDSs with data from a production environment hosting a web application of large dimensions. It describes how challenges like processing a large number of requests and obtaining training data without attacks were solved. It also presents an evaluation comparing the accuracy obtained with the different types of models that were used to represent normal behavior.","","978-1-4577-0374-4","978-1-4577-0373-7","10.1109/DSNW.2011.5958858","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5958858","","Accuracy;Data models;Intrusion detection;Markov processes;Software;Training;Training data","cloud computing;security of data","Web applications;anomaly based intrusion detection;software as a service","","3","","16","","","27-30 June 2011","","IEEE","IEEE Conference Publications"
"Evolutionary optimization of a fuzzy rule-based network intrusion detection system","Fries, T.P.","Dept. of Comput. Sci., Indiana Univ. of Pennsylvania, Indian, PA, USA","Fuzzy Information Processing Society (NAFIPS), 2010 Annual Meeting of the North American","20100816","2010","","","1","6","The use of computer networks has increased significantly in recent years. This proliferation, in combination with the interconnection of networks via the Internet, has drastically increased their vulnerability to attack by malicious agents. The wide variety of attack modes has exacerbated the problem in detecting attacks. Many current intrusion detection systems (IDS) are unable to identify unknown or mutated attack modes or are unable to operate in a dynamic environment as is necessary with mobile networks. As a result, it has become increasingly important to find new ways to implement and manage intrusion detection systems. Evolutionary-based systems offer the ability to adapt to dynamic environments and to identify unknown attack methods. Fuzzy-based systems accommodate the imprecision associated with mutated and previously unidentified attack modes. This paper presents an evolutionary-fuzzy approach to intrusion detection that is shown to provide superior performance in comparison to other evolutionary approaches. In addition, the method demonstrates improved robustness in comparison to other evolutionary-based techniques.","","978-1-4244-7859-0","978-1-4244-7857-6","10.1109/NAFIPS.2010.5548289","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5548289","evolutionary computation;fuzzy rules;genetic algorithms;network intrusion detection","Computer network reliability;Computer science;Evolutionary computation;Fuzzy logic;Fuzzy systems;Genetic algorithms;Intrusion detection;Robustness;Telecommunication traffic;Uncertainty","Internet;computer network security;evolutionary computation;fuzzy set theory;optimisation","Internet;computer network;evolutionary based system;evolutionary optimization;fuzzy rule based network intrusion detection system;malicious agent;mobile network","","1","","18","","","12-14 July 2010","","IEEE","IEEE Conference Publications"
"Enhancing Performance of Intrusion Detection through Soft Computing Techniques","Patra, M.R.; Panigrahi, A.","Dept. of Comput. Sci., Berhampur Univ., Berhampur, India","Computational and Business Intelligence (ISCBI), 2013 International Symposium on","20140127","2013","","","44","48","The worldwide rapid expansion of computer networks and ever growing dependence of organizations on network based information management have led to serious security concerns. Among other security threats network intrusion has been a major concern which requires considerable attention in order to protect the information resources that are accessible via network infrastructure. Though different intrusion detection approaches have been experimented but none of them can guarantee complete protection against network intrusions. Furthering research in this direction, we have been exploring the use of soft computing techniques to analyze intrusion data in order to detect intrusive behavior in network access patters. In this paper, we have carried out some experiments using techniques such as Radial Basis Function Network (RBFN), Self-Organizing Map (SOM), Support Vector Machine (SVM), back propagation, and J48 on the NSL-KDD intrusion data set in order to evaluate the performance of each of the techniques. We have also compared the performance of these techniques with respect to the detection and false alarm rates.","","978-0-7695-5066-4","","10.1109/ISCBI.2013.17","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6724321","Intrusion detection;performance evaluation;soft computing techniques","Accuracy;Intrusion detection;Neurons;Principal component analysis;Radial basis function networks;Support vector machines;Training","backpropagation;computer network security;radial basis function networks;self-organising feature maps;support vector machines","J48;NSL-KDD intrusion data set;RBFN;SOM;SVM;back propagation;computer networks;false alarm rates;intrusion data;intrusion detection performance enhancement;intrusive behavior;network access patters;network based information management;network intrusion;radial basis function network;security concerns;self-organizing map;soft computing techniques;support vector machine","","0","","10","","","24-26 Aug. 2013","","IEEE","IEEE Conference Publications"
"Visual correlation of network alerts","Foresti, S.; Agutter, J.; Livnat, Y.; Shaun Moon; Erbacher, R.","Utah Univ., Salt Lake City, UT, USA","Computer Graphics and Applications, IEEE","20060320","2006","26","2","48","59","The VisAlert visual correlation tool facilitates situational awareness in complex network environments by providing a holistic view of network security to help detect malicious activities. Information visualization techniques and methods in many applications have effectively increased operators' situational awareness, letting them more effectively detect, diagnose, and treat anomalous conditions. Visualization elevates information comprehension by fostering rapid correlation and perceived associations. Our visualization technique integrates the information in log and alert files into an intuitive, flexible, extensible, and scalable visualization tool - VisAlert - that presents critical information concerning network activity in an integrated manner, increasing the user's situational awareness.","0272-1716","","","10.1109/MCG.2006.49","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=1607921","Cybersecurity;Data Correlation;Network Intrusion;Network Monitoring;Situational Awareness;User Centered Design;Visualization","Computer crime;Computer worms;Computerized monitoring;Data security;Data visualization;Decision making;Humans;Intrusion detection;Large-scale systems;Scalability","data visualisation;security of data;telecommunication security","VisAlert visual correlation tool;alert files;complex network environment;information visualization techniques;log files;network security;situational awareness","Computer Communication Networks;Computer Graphics;Information Storage and Retrieval;Signal Processing, Computer-Assisted;Software;User-Computer Interface","10","","13","","","March-April 2006","","IEEE","IEEE Journals & Magazines"
"Dimension reduction using feature extraction methods for real-time misuse detection systems","Kuchimanchi, G.K.; Phoha, V.V.; Balagani, K.S.; Gaddam, S.R.","Dept. of Comput. Sci., Louisiana State Univ., Ruston, LA, USA","Information Assurance Workshop, 2004. Proceedings from the Fifth Annual IEEE SMC","20050606","2004","","","195","202","We present a novel signed gain in information (GI) measure for quantitative evaluation of gain or loss in information due to dimension reduction using feature extraction in misuse detection applications. GI is defined in terms of sensitivity mismatch measure (Φ) and specificity mismatch measure (⊗). 'Φ' quantifies information gain or loss in feature-extracted data as the change in detection accuracy of a misuse detection system when reduced data is used instead of untransformed original data. Similarly, '⊗' quantifies information gain or loss as the change in the number of false alarms generated by a misuse detection system when feature-extracted data is used instead of original data. We present two neural network methods for feature extraction: (1) NNPCA and (2) NLCA for reducing the 41-dimensional KDD Cup 1999 data. We compare our methods with principal component analysis (PCA). Our results show that the NLCA method reduces the test data to approximately 30% of its original size while maintaining a GI comparable to that of PCA and the NNPCA method reduces the test data to approximately 50% with GI measure greater than that of PCA.","","0-7803-8572-1","","10.1109/IAW.2004.1437817","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=1437817","","Classification tree analysis;Data mining;Feature extraction;Gain measurement;Intrusion detection;Loss measurement;Neural networks;Principal component analysis;Real time systems;Testing","neural nets;pattern classification;real-time systems;security of data","dimension reduction;feature extraction;information gain;neural network;pattern classification;principal component analysis;real-time misuse detection system;sensitivity mismatch measure;specificity mismatch measure","","9","","24","","","10-11 June 2004","","IEEE","IEEE Conference Publications"
"Comparing performance of binary-coded detectors and constraint-based detectors","Haiyu Hou; Dozier, G.V.","Dept. of Comput. Sci. & Software Eng., Auburn Univ., AL, USA","Evolutionary Computation, 2004. CEC2004. Congress on","20040903","2004","1","","772","777 Vol.1","Artificial immune systems can be used to detect intrusion by classifying network activities as normal or abnormal. High detection rates and low false positive rates are two necessary features of successful AIS. Strong detectors are the basis of creating a successful AIS. Some preliminary experiments showed its promise to encode detectors in the form of data triples. Currently, there are two types of detectors: binary-coded and constraint-based. This paper compares the two types of detectors using simulated network traffic data. The results show that constraint-based detectors perform better than binary-coded detectors.","","0-7803-8515-2","","10.1109/CEC.2004.1330937","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=1330937","","Adaptive algorithm;Artificial immune systems;Computer science;Detectors;Immune system;Intrusion detection;Pattern matching;Software engineering;Telecommunication traffic;Traffic control","authorisation;binary codes;computer networks;evolutionary computation;telecommunication security;telecommunication traffic","adaptive algorithms;artificial immune systems;binary-coded detectors;constraint-based detectors;evolutionary algorithm;intrusion detection;network classification;network traffic","","1","","14","","","19-23 June 2004","","IEEE","IEEE Conference Publications"
"Demystifying Internet-Wide Service Discovery","Leonard, D.; Loguinov, D.","Dept. of Comput. Sci. & Eng., Texas A&M Univ., College Station, TX, USA","Networking, IEEE/ACM Transactions on","20131218","2013","21","6","1760","1773","This paper develops a high-performance, Internet-wide service discovery tool, which we call IRLscanner, whose main design objectives have been to maximize politeness at remote networks, allow scanning rates that achieve coverage of the Internet in minutes/hours (rather than weeks/months), and significantly reduce administrator complaints. Using IRLscanner and 24-h scans, we perform 21 Internet-wide experiments using six different protocols (i.e., DNS, HTTP, SMTP, EPMAP, ICMP, and UDP ECHO), demonstrate the usefulness of ACK scans in detecting live hosts behind stateless firewalls, and undertake the first Internet-wide OS fingerprinting. In addition, we analyze the feedback generated (e.g., complaints, IDS alarms) and suggest novel approaches for reducing the amount of blowback during similar studies, which should enable researchers to collect valuable experimental data in the future with significantly fewer hurdles.","1063-6692","","","10.1109/TNET.2012.2231434","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6389736","Horizontal scanning;Internet measurement","Bandwidth;Extrapolation;IP networks;Internet;Probes;Random access memory","Internet;transport protocols","24-h scans;DNS protocol;EPMAP protocol;HTTP protocol;ICMP protocol;IRLscanner;Internet-wide OS fingerprinting;Internet-wide service discovery tool;SMTP protocol;UDP ECHO protocol;blowback;remote networks","","0","","61","","2012-12-20","Dec. 2013","","IEEE","IEEE Journals & Magazines"
"Integrated user activity monitoring for regulatory services","Marder, M.; Bhaskaran, K.; Hernandez, M.; Laredo, J.; Rosu, D.; Yaoping Ruan; Driscoll, P.; Skinner, A.","","Network Operations and Management Symposium (NOMS), 2012 IEEE","20120607","2012","","","750","763","Regulations such as FFIEC [5] and HIPAA [6] require activities of system administration to be captured and reviewed regularly. In IT service delivery environment, system maintenance activities are usually performed by the service provider whose system administrators access customer environment based on problem and change ticket being assigned.","1542-1201","978-1-4673-0267-8","978-1-4673-0268-5","10.1109/NOMS.2012.6211992","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6211992","","Authentication;Context;Databases;Filtering;Maintenance engineering;Real time systems;Servers","security of data","FFIEC;HIPAA;IT service delivery environment;integrated user activity monitoring;regulatory services;system maintenance activities","","0","","7","","","16-20 April 2012","","IEEE","IEEE Conference Publications"
"Hardware accelerated algorithms for semantic processing of document streams","Eick, S.G.; Lockwood, J.W.; Loui, Ron; Levine, A.; Mauger, J.; Weishar, D.J.; Ratner, A.; Byrnes, J.","SSS Res., Inc., Naperville, IL","Aerospace Conference, 2006 IEEE","20060724","2006","","","14 pp.","","There is a need within the intelligence communities to analyze massive streams of multilingual unstructured data. Mathematical transformation algorithms have proven effective at interpreting multilingual, unstructured data, but high computational requirements of such algorithms prevent their widespread use. The rate of computation can be vastly increased with field programmable gate array (FPGA) hardware. To experiment with this approach, we developed a system with FPGAs that ingests content over a network at high data rates. The system extracts basewords, counts words, scores documents, and discovers concepts on data that are carried in TCP/IP network flows as packets over a Gigabit Ethernet link or in cells transported over an OC48 link. These algorithms, as implemented in FPGA hardware, introduce certain constraints on the complexity and richness of the semantic processing algorithms. To understand the implications of these constraints and to benchmark the performance of the system, we have performed a series of experiments processing multilingual documents. In these experiments, we compare techniques to generate basewords for our semantic concepts, score documents, and discover concepts across a variety of processing operational scenarios","","0-7803-9545-X","","10.1109/AERO.2006.1656050","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=1656050","","Acceleration;Computational intelligence;Computational linguistics;Data mining;Field programmable gate arrays;Hardware;National security;Sorting;Testing;Text analysis","field programmable gate arrays;local area networks;natural languages;text analysis","FPGA hardware;Gigabit Ethernet link;OC48 link;TCP/IP network flows;baseword extraction;document scoring;document streams;field programmable gate array;hardware accelerated algorithms;multilingual document processing;multilingual unstructured data;semantic concepts;semantic processing;word counting","","7","5","19","","","0-0 0","","IEEE","IEEE Conference Publications"
"Behavior Analysis-Based Learning Framework for Host Level Intrusion Detection","Haiyan Qiao; Jianfeng Peng; Chuan Feng; Rozenblit, Jerzy W.","Dept. of Electr. & Comput. Eng., Arizona Univ., Tucson, AZ","Engineering of Computer-Based Systems, 2007. ECBS '07. 14th Annual IEEE International Conference and Workshops on the","20070410","2007","","","441","447","Machine learning has great utility within the context of network intrusion detection systems. In this paper, a behavior analysis-based learning framework for host level network intrusion detection is proposed, consisting of two parts, anomaly detection and alert verification. The anomaly detection module processes unlabeled data using a clustering algorithm to detect abnormal behaviors. The alert verification module adopts a novel rule learning based mechanism which analyzes the change of system behavior caused by an intrusion to determine whether an attack succeeded and therefore lower the number of false alarms. In this framework, the host behavior is not represented by a single user or program activity; instead, it is represented by a set of factors, called behavior set, so that the host behavior can be described more accurately and completely","","0-7695-2772-8","","10.1109/ECBS.2007.23","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4148961","","Change detection algorithms;Clustering algorithms;Computer networks;Data mining;Face detection;Humans;Intrusion detection;Machine learning;Machine learning algorithms;Telecommunication traffic","formal verification;learning (artificial intelligence);security of data","alert verification;anomaly detection;behavior analysis-based learning;clustering algorithm;intrusion detection;machine learning;rule learning based mechanism","","2","","16","","","26-29 March 2007","","IEEE","IEEE Conference Publications"
"Attack Prediction Models for Cloud Intrusion Detection Systems","Kholidy, H.A.; Erradi, A.; Abdelwahed, S.","Dept. of Comput. Sci. & Eng., Qatar Univ., Doha, Qatar","Artificial Intelligence, Modelling and Simulation (AIMS), 2014 2nd International Conference on","20150507","2014","","","270","275","In spite of the functional and economic benefits of the cloud-computing systems, they also expose entirely several attacks. Most of the current cloud security technologies do not provide early warnings about such attacks. The early warnings give the cloud administrator or the auto response controller ample time to take preventive measures. This paper discusses our three prediction models that are integrated to our Autonomic Cloud Intrusion Detection Framework (ACIDF) namely, The Finite State Hidden Markov prediction model (FSHMPM), The Finite Context Prediction Model (FCPM) that uses a Variable Order Markov Model (VMM) with a Probabilistic Suffix Tree (PST), and HoltWinter Prediction Model (HWPM). We compare these models and highlight the pros and cons of each one. The prediction models were evaluated against DARPA 2000 dataset. The FSHMPM has successfully fired the early warnings 39.6 minutes before the launching of the LLDDoS1.0 attack. The FCPM has successfully fired the early warnings 58.98 minutes before the launching of the same attack. The HWPM has an error rate of 42.07% for HTTP flow forecast and 44.02% for FTP one.","","978-1-4799-7599-0","","10.1109/AIMS.2014.64","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=7102472","Cloud computing; intrusion prediction; multi-staged attacks; HMM; VMM; Probability Suffix Tree; HoltWinter","Biological system modeling;Context;Context modeling;Hidden Markov models;Prediction algorithms;Predictive models;Training","cloud computing;computer crime;finite state machines;hidden Markov models","ACIDF;FCPM;FSHMPM;HTTP flow forecast;HWPM;HoltWinter prediction model;LLDDoS1.0 attack;PST;VMM;attack prediction models;auto response controller;autonomic cloud intrusion detection framework;cloud administrator;cloud intrusion detection systems;cloud security technologies;cloud-computing systems;early warnings;economic benefits;finite context prediction model;finite state hidden Markov prediction model;functional benefits;preventive measures;probabilistic suffix tree;variable order Markov model","","0","","21","","","18-20 Nov. 2014","","IEEE","IEEE Conference Publications"
"Target Detection in Bistatic Radar Networks: Node Placement and Repeated Security Game","Tang, Ling; Gong, Xiaowen; Wu, Jianhui; Zhang, Junshan","National ASIC System Engineering Research Center, Southeast University, Nanjing, China, and the School of ECEE, Arizona State University, Tempe, AZ, USA","Wireless Communications, IEEE Transactions on","20130320","2013","12","3","1279","1289","We consider a bistatic radar network that consists of multiple separated radar transmitters and receivers, which are deployed to detect potential attacks at some points of interest (PoIs). To better defend these PoIs, the design of the bistatic radar network is investigated in two stages. First, we study the problem of optimally placing a number of radar transmitters and receivers in the sense of minimizing the maximum distance product between a PoI and its closest transmitter-receiver pair. For this problem, we propose a randomized Voronoi algorithm. Next, given the radars' locations, assuming that the transmitters use fixed and orthogonal frequencies to illuminate signals for interference avoidance, we study the problem of frequency selection for the receivers. Since an intelligent attacker can adaptively change the PoI to attack, the receivers should dynamically adapt their frequencies to cover different subsets of the PoIs. Accordingly, we model the dynamic interactions between the bistatic radar network and the attacker as a repeated security game. Based on their respective information, we propose two learning algorithms for each of them, respectively. We show that if both players follow the modified-regret-matching procedures, the empirical distributions of their actions converge to the set of correlated equilibria.","1536-1276","","","10.1109/TWC.2013.011713.120892","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=6416889","Bistatic radar network;learning algorithm;node placement;repeated game;security game","Bistatic radar;Games;Receivers;Security;Transmitters;Vectors","","","","0","","21","","2013-01-22","March 2013","","IEEE","IEEE Journals & Magazines"
"A Study on GA-Based WWN Intrusion Detection","Ning Chang; Yujing He; Li Huifang; Hui Ren","Fundament Dept., Chinese People''s Armed Police Force Acad., Langfang, China","Management and Service Science, 2009. MASS '09. International Conference on","20091030","2009","","","1","4","Intrusion detection (ID) technology is a very important means to improve network security, therefore intrusion detection system should have a good performance. However, the traditional detection method cannot meet actual demands. Applying wavelet neural network (WNN) to intrusion detection has become a research focus recently, but some inherent defects in WNN reduce its efficiencies in operation and identification. Aiming at eliminating these limitations, we propose a new improved WNN algorithm basing on genetic algorithm (GA). This new algorithm combines WNN with GA in order to optimize network parameters and improve network performance. Making use of the actual data extracted from the intrusion detection system, this paper tests the newly constructed algorithm emulationally. The results show that used in intrusion detection, the new algorithm has higher identification rate and it can increase network running efficiency and the success rate of training. Thereby it can reduce undetected rate and false alarm rate. Thus it proves the validity of the new algorithm.","","978-1-4244-4638-4","978-1-4244-4639-1","10.1109/ICMSS.2009.5302607","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=5302607","","Biological neural networks;Computer network management;Data security;Genetic algorithms;Helium;Information security;Intrusion detection;Neural networks;Neurons;Transfer functions","genetic algorithms;neural nets;security of data","GA-based WWN intrusion detection;genetic algorithm;identification rate;network running efficiency;network security;wavelet neural network","","0","","13","","","20-22 Sept. 2009","","IEEE","IEEE Conference Publications"
"Multi-Layer Integrated Anomaly Intrusion Detection System for Mobile Adhoc Networks","Bose, S.; Bharathimurugan, S.; Kannan, A.","Dept. of Comput. Sci. & Eng., Anna Univ., Chennai","Signal Processing, Communications and Networking, 2007. ICSCN '07. International Conference on","20071105","2007","","","360","365","Most intrusion detection systems for mobile ad hoc networks are focusing on either routing protocols or MAC layer traffic. This paper focuses on the design of a new anomaly detection system for each node of the network, which contains detection subsystem for MAC layer, routing layer and application layer. Audit data taken from MAC level/network level/application level from the traces in Glomosim and are preprocessed separately for each layer's detection subsystem. Feature data sets for each layer are selected from normal transactions. The detection subsystem contains normal profiles obtained from the feature vectors of training data sets. In our work, we used Bayesian classification algorithm, Markov chain construction algorithm and association rule mining algorithm for anomaly detection in MAC layer, routing layer and application layer respectively for effective intrusion detection. Test data obtained from the network traffic is feed in to the detection subsystems. If there is any deviation from normal behavior, it is considered as abnormal or anomaly based on predefined thresholds. Intrusion results from detection subsystems of all the three layers are integrated at local integration module and the final result is sent to the global integration module. Intrusion results are received also from the neighbor nodes and are sent to the global integration module for making a final decision","","1-4244-0997-7","1-4244-0997-7","10.1109/ICSCN.2007.350763","http://ieeexplore.ieee.org.ezproxy.rit.edu/stamp/stamp.jsp?arnumber=4156645","","Association rules;Bayesian methods;Classification algorithms;Data mining;Intrusion detection;Media Access Protocol;Mobile ad hoc networks;Routing protocols;Telecommunication traffic;Training data","Bayes methods;Markov processes;ad hoc networks;data mining;decision making;mobile radio;security of data;telecommunication network routing;telecommunication security;telecommunication traffic","Bayesian classification algorithm;MAC layer;Markov chain construction algorithm;application layer;association rule mining algorithm;decision making;mobile adhoc network;multilayer integrated anomaly intrusion detection;network traffic;routing layer","","5","","15","","","22-24 Feb. 2007","","IEEE","IEEE Conference Publications"
